"","X","did_purchase","ratings","recommendation","Real_Review"
"106",1092,FALSE,1,FALSE,"Fake Don't Recommand"
"107",1094,FALSE,1,FALSE,"Fake Don't Recommand"
"108",1095,FALSE,1,FALSE,"Fake Don't Recommand"
"109",1096,FALSE,1,FALSE,"Fake Don't Recommand"
"110",1097,FALSE,1,FALSE,"Fake Don't Recommand"
"111",1098,FALSE,2,FALSE,"Fake Don't Recommand"
"112",1102,FALSE,3,FALSE,"Fake Don't Recommand"
"113",1103,FALSE,3,FALSE,"Fake Don't Recommand"
"114",1104,FALSE,3,FALSE,"Fake Don't Recommand"
"115",1109,FALSE,4,FALSE,"Fake Don't Recommand"
"116",1288,FALSE,1,FALSE,"Fake Don't Recommand"
"117",1289,FALSE,1,FALSE,"Fake Don't Recommand"
"118",1290,FALSE,1,FALSE,"Fake Don't Recommand"
"119",1291,FALSE,1,FALSE,"Fake Don't Recommand"
"120",1323,FALSE,1,FALSE,"Fake Don't Recommand"
"121",1324,FALSE,1,FALSE,"Fake Don't Recommand"
"122",1325,FALSE,1,FALSE,"Fake Don't Recommand"
"123",1327,FALSE,1,FALSE,"Fake Don't Recommand"
"124",1328,FALSE,1,FALSE,"Fake Don't Recommand"
"125",1333,FALSE,3,FALSE,"Fake Don't Recommand"
"126",1335,FALSE,3,FALSE,"Fake Don't Recommand"
"127",1403,FALSE,1,FALSE,"Fake Don't Recommand"
"128",1404,FALSE,1,FALSE,"Fake Don't Recommand"
"129",1405,FALSE,1,FALSE,"Fake Don't Recommand"
"130",1407,FALSE,1,FALSE,"Fake Don't Recommand"
"131",1408,FALSE,1,FALSE,"Fake Don't Recommand"
"132",1409,FALSE,1,FALSE,"Fake Don't Recommand"
"133",1410,FALSE,1,FALSE,"Fake Don't Recommand"
"134",1411,FALSE,1,FALSE,"Fake Don't Recommand"
"135",1412,FALSE,1,FALSE,"Fake Don't Recommand"
"136",1413,FALSE,1,FALSE,"Fake Don't Recommand"
"137",1414,FALSE,1,FALSE,"Fake Don't Recommand"
"138",1415,FALSE,2,FALSE,"Fake Don't Recommand"
