"","X","did_purchase","recommendation","polar_norm","Real_Review"
"140",46149,TRUE,FALSE,7,"Real Don't Recommand"
"141",46152,TRUE,FALSE,2.25,"Real Don't Recommand"
"142",46252,TRUE,FALSE,5,"Real Don't Recommand"
"143",46333,TRUE,FALSE,10,"Real Don't Recommand"
"144",46362,TRUE,FALSE,3,"Real Don't Recommand"
"146",46620,TRUE,FALSE,1,"Real Don't Recommand"
"147",46734,TRUE,FALSE,4,"Real Don't Recommand"
"148",46735,TRUE,FALSE,2.333333333,"Real Don't Recommand"
"149",46737,TRUE,FALSE,2,"Real Don't Recommand"
"150",46740,TRUE,FALSE,3,"Real Don't Recommand"
"151",46741,TRUE,FALSE,1,"Real Don't Recommand"
"152",46743,TRUE,FALSE,2.5,"Real Don't Recommand"
"153",46746,TRUE,FALSE,3,"Real Don't Recommand"
"154",46747,TRUE,FALSE,1.75,"Real Don't Recommand"
"155",46749,TRUE,FALSE,3,"Real Don't Recommand"
"157",46752,TRUE,FALSE,1.666666667,"Real Don't Recommand"
"158",46754,TRUE,FALSE,5,"Real Don't Recommand"
"159",46755,TRUE,FALSE,1.333333333,"Real Don't Recommand"
"160",46757,TRUE,FALSE,0.5,"Real Don't Recommand"
"161",46758,TRUE,FALSE,1.8,"Real Don't Recommand"
"162",46759,TRUE,FALSE,1.333333333,"Real Don't Recommand"
"163",46763,TRUE,FALSE,3,"Real Don't Recommand"
"164",46764,TRUE,FALSE,1.5,"Real Don't Recommand"
"165",46766,TRUE,FALSE,2.5,"Real Don't Recommand"
"166",46767,TRUE,FALSE,2,"Real Don't Recommand"
"167",46769,TRUE,FALSE,1.357142857,"Real Don't Recommand"
"168",46773,TRUE,FALSE,5.25,"Real Don't Recommand"
"171",46777,TRUE,FALSE,1.8,"Real Don't Recommand"
"173",46779,TRUE,FALSE,1.666666667,"Real Don't Recommand"
"175",46781,TRUE,FALSE,0.6,"Real Don't Recommand"
"177",46785,TRUE,FALSE,1.714285714,"Real Don't Recommand"
"178",46787,TRUE,FALSE,1.5,"Real Don't Recommand"
"179",46788,TRUE,FALSE,0.888888889,"Real Don't Recommand"
"180",46791,TRUE,FALSE,6,"Real Don't Recommand"
"182",46802,TRUE,FALSE,5,"Real Don't Recommand"
"183",46803,TRUE,FALSE,3,"Real Don't Recommand"
"184",46806,TRUE,FALSE,2,"Real Don't Recommand"
"185",46809,TRUE,FALSE,1.545454545,"Real Don't Recommand"
"186",46810,TRUE,FALSE,2,"Real Don't Recommand"
"188",46813,TRUE,FALSE,1.166666667,"Real Don't Recommand"
"189",46818,TRUE,FALSE,3,"Real Don't Recommand"
"191",46826,TRUE,FALSE,10,"Real Don't Recommand"
"192",46828,TRUE,FALSE,9,"Real Don't Recommand"
"193",46830,TRUE,FALSE,3,"Real Don't Recommand"
"194",46833,TRUE,FALSE,5,"Real Don't Recommand"
"195",46834,TRUE,FALSE,3,"Real Don't Recommand"
"196",46836,TRUE,FALSE,0.875,"Real Don't Recommand"
"197",46840,TRUE,FALSE,2,"Real Don't Recommand"
"198",46842,TRUE,FALSE,6,"Real Don't Recommand"
"199",46843,TRUE,FALSE,3,"Real Don't Recommand"
"200",47031,TRUE,FALSE,1.5,"Real Don't Recommand"
"201",47184,TRUE,FALSE,7,"Real Don't Recommand"
"204",47472,TRUE,FALSE,1.8,"Real Don't Recommand"
"205",47473,TRUE,FALSE,4.666666667,"Real Don't Recommand"
"206",51283,TRUE,FALSE,0.333333333,"Real Don't Recommand"
"207",51381,TRUE,FALSE,2,"Real Don't Recommand"
"209",51386,TRUE,FALSE,2.5,"Real Don't Recommand"
"210",51387,TRUE,FALSE,1,"Real Don't Recommand"
"211",51388,TRUE,FALSE,2,"Real Don't Recommand"
"212",51389,TRUE,FALSE,1.5,"Real Don't Recommand"
"213",51390,TRUE,FALSE,1.4,"Real Don't Recommand"
"214",51391,TRUE,FALSE,1.769230769,"Real Don't Recommand"
"218",51395,TRUE,FALSE,0,"Real Don't Recommand"
"223",51401,TRUE,FALSE,2,"Real Don't Recommand"
"225",51406,TRUE,FALSE,2.5,"Real Don't Recommand"
