"","X","did_purchase","recommendation","review_length","Real_Review"
"146",46620,TRUE,FALSE,19,"Real Don't Recommand"
"147",46734,TRUE,FALSE,22,"Real Don't Recommand"
"148",46735,TRUE,FALSE,28,"Real Don't Recommand"
"149",46737,TRUE,FALSE,22,"Real Don't Recommand"
"150",46740,TRUE,FALSE,13,"Real Don't Recommand"
"151",46741,TRUE,FALSE,13,"Real Don't Recommand"
"152",46743,TRUE,FALSE,78,"Real Don't Recommand"
"153",46746,TRUE,FALSE,30,"Real Don't Recommand"
"154",46747,TRUE,FALSE,14,"Real Don't Recommand"
"155",46749,TRUE,FALSE,53,"Real Don't Recommand"
"156",46751,TRUE,FALSE,28,"Real Don't Recommand"
"157",46752,TRUE,FALSE,56,"Real Don't Recommand"
"158",46754,TRUE,FALSE,40,"Real Don't Recommand"
"159",46755,TRUE,FALSE,12,"Real Don't Recommand"
"160",46757,TRUE,FALSE,55,"Real Don't Recommand"
"161",46758,TRUE,FALSE,39,"Real Don't Recommand"
"162",46759,TRUE,FALSE,53,"Real Don't Recommand"
"163",46763,TRUE,FALSE,46,"Real Don't Recommand"
"164",46764,TRUE,FALSE,27,"Real Don't Recommand"
"165",46766,TRUE,FALSE,119,"Real Don't Recommand"
"166",46767,TRUE,FALSE,20,"Real Don't Recommand"
"167",46769,TRUE,FALSE,16,"Real Don't Recommand"
"168",46773,TRUE,FALSE,89,"Real Don't Recommand"
"169",46774,TRUE,FALSE,39,"Real Don't Recommand"
"170",46776,TRUE,FALSE,49,"Real Don't Recommand"
"171",46777,TRUE,FALSE,54,"Real Don't Recommand"
"172",46778,TRUE,FALSE,29,"Real Don't Recommand"
"173",46779,TRUE,FALSE,9,"Real Don't Recommand"
"174",46780,TRUE,FALSE,66,"Real Don't Recommand"
"175",46781,TRUE,FALSE,438,"Real Don't Recommand"
"176",46783,TRUE,FALSE,77,"Real Don't Recommand"
"177",46785,TRUE,FALSE,56,"Real Don't Recommand"
"178",46787,TRUE,FALSE,43,"Real Don't Recommand"
"179",46788,TRUE,FALSE,25,"Real Don't Recommand"
"180",46791,TRUE,FALSE,31,"Real Don't Recommand"
"181",46801,TRUE,FALSE,155,"Real Don't Recommand"
"182",46802,TRUE,FALSE,12,"Real Don't Recommand"
"183",46803,TRUE,FALSE,102,"Real Don't Recommand"
"184",46806,TRUE,FALSE,8,"Real Don't Recommand"
"185",46809,TRUE,FALSE,53,"Real Don't Recommand"
"186",46810,TRUE,FALSE,27,"Real Don't Recommand"
"187",46812,TRUE,FALSE,48,"Real Don't Recommand"
"188",46813,TRUE,FALSE,105,"Real Don't Recommand"
"189",46818,TRUE,FALSE,24,"Real Don't Recommand"
"190",46824,TRUE,FALSE,31,"Real Don't Recommand"
"191",46826,TRUE,FALSE,26,"Real Don't Recommand"
"192",46828,TRUE,FALSE,72,"Real Don't Recommand"
"193",46830,TRUE,FALSE,45,"Real Don't Recommand"
"194",46833,TRUE,FALSE,25,"Real Don't Recommand"
"195",46834,TRUE,FALSE,133,"Real Don't Recommand"
"196",46836,TRUE,FALSE,86,"Real Don't Recommand"
"197",46840,TRUE,FALSE,39,"Real Don't Recommand"
"198",46842,TRUE,FALSE,45,"Real Don't Recommand"
"199",46843,TRUE,FALSE,38,"Real Don't Recommand"
"200",47031,TRUE,FALSE,50,"Real Don't Recommand"
"201",47184,TRUE,FALSE,16,"Real Don't Recommand"
"202",47240,TRUE,FALSE,53,"Real Don't Recommand"
"203",47295,TRUE,FALSE,10,"Real Don't Recommand"
"204",47472,TRUE,FALSE,51,"Real Don't Recommand"
"205",47473,TRUE,FALSE,54,"Real Don't Recommand"
"206",51283,TRUE,FALSE,18,"Real Don't Recommand"
"207",51381,TRUE,FALSE,81,"Real Don't Recommand"
"208",51385,TRUE,FALSE,9,"Real Don't Recommand"
"209",51386,TRUE,FALSE,8,"Real Don't Recommand"
"210",51387,TRUE,FALSE,14,"Real Don't Recommand"
"211",51388,TRUE,FALSE,31,"Real Don't Recommand"
"212",51389,TRUE,FALSE,29,"Real Don't Recommand"
"213",51390,TRUE,FALSE,21,"Real Don't Recommand"
