"","X","did_purchase","recommendation","review_length","Real_Review"
"118",178,FALSE,TRUE,22,"Fake Recommand"
"119",179,FALSE,TRUE,33,"Fake Recommand"
"120",180,FALSE,TRUE,14,"Fake Recommand"
"121",181,FALSE,TRUE,14,"Fake Recommand"
"122",182,FALSE,TRUE,38,"Fake Recommand"
"123",183,FALSE,TRUE,33,"Fake Recommand"
"124",184,FALSE,TRUE,26,"Fake Recommand"
"125",185,FALSE,TRUE,22,"Fake Recommand"
"126",186,FALSE,TRUE,48,"Fake Recommand"
"127",187,FALSE,TRUE,43,"Fake Recommand"
"128",189,FALSE,TRUE,16,"Fake Recommand"
"129",190,FALSE,TRUE,13,"Fake Recommand"
"130",191,FALSE,TRUE,24,"Fake Recommand"
"131",192,FALSE,TRUE,38,"Fake Recommand"
"132",193,FALSE,TRUE,16,"Fake Recommand"
"133",194,FALSE,TRUE,21,"Fake Recommand"
"134",195,FALSE,TRUE,32,"Fake Recommand"
"135",203,FALSE,TRUE,22,"Fake Recommand"
"136",205,FALSE,TRUE,24,"Fake Recommand"
"137",206,FALSE,TRUE,25,"Fake Recommand"
"138",207,FALSE,TRUE,22,"Fake Recommand"
"139",208,FALSE,TRUE,25,"Fake Recommand"
"140",209,FALSE,TRUE,23,"Fake Recommand"
"141",210,FALSE,TRUE,23,"Fake Recommand"
"142",211,FALSE,TRUE,26,"Fake Recommand"
"143",212,FALSE,TRUE,24,"Fake Recommand"
"144",213,FALSE,TRUE,25,"Fake Recommand"
"145",214,FALSE,TRUE,25,"Fake Recommand"
"146",215,FALSE,TRUE,22,"Fake Recommand"
"147",216,FALSE,TRUE,20,"Fake Recommand"
"148",217,FALSE,TRUE,23,"Fake Recommand"
"149",218,FALSE,TRUE,23,"Fake Recommand"
"150",219,FALSE,TRUE,20,"Fake Recommand"
"151",220,FALSE,TRUE,22,"Fake Recommand"
"152",221,FALSE,TRUE,19,"Fake Recommand"
"153",222,FALSE,TRUE,22,"Fake Recommand"
"154",223,FALSE,TRUE,21,"Fake Recommand"
"155",224,FALSE,TRUE,21,"Fake Recommand"
"156",225,FALSE,TRUE,21,"Fake Recommand"
"157",226,FALSE,TRUE,21,"Fake Recommand"
"158",227,FALSE,TRUE,21,"Fake Recommand"
"159",228,FALSE,TRUE,17,"Fake Recommand"
"160",229,FALSE,TRUE,17,"Fake Recommand"
"161",230,FALSE,TRUE,20,"Fake Recommand"
"162",231,FALSE,TRUE,40,"Fake Recommand"
"163",232,FALSE,TRUE,40,"Fake Recommand"
"164",233,FALSE,TRUE,39,"Fake Recommand"
"165",234,FALSE,TRUE,41,"Fake Recommand"
"166",236,FALSE,TRUE,40,"Fake Recommand"
"167",237,FALSE,TRUE,36,"Fake Recommand"
"168",238,FALSE,TRUE,39,"Fake Recommand"
"169",239,FALSE,TRUE,39,"Fake Recommand"
"170",240,FALSE,TRUE,38,"Fake Recommand"
"171",241,FALSE,TRUE,42,"Fake Recommand"
