"","X","did_purchase","recommendation","review_length","Real_Review"
"106",1092,FALSE,FALSE,134,"Fake Don't Recommand"
"107",1094,FALSE,FALSE,39,"Fake Don't Recommand"
"108",1095,FALSE,FALSE,13,"Fake Don't Recommand"
"109",1096,FALSE,FALSE,83,"Fake Don't Recommand"
"110",1097,FALSE,FALSE,31,"Fake Don't Recommand"
"111",1098,FALSE,FALSE,54,"Fake Don't Recommand"
"112",1102,FALSE,FALSE,81,"Fake Don't Recommand"
"113",1103,FALSE,FALSE,46,"Fake Don't Recommand"
"114",1104,FALSE,FALSE,33,"Fake Don't Recommand"
"115",1109,FALSE,FALSE,66,"Fake Don't Recommand"
"116",1288,FALSE,FALSE,97,"Fake Don't Recommand"
"117",1289,FALSE,FALSE,98,"Fake Don't Recommand"
"118",1290,FALSE,FALSE,70,"Fake Don't Recommand"
"119",1291,FALSE,FALSE,16,"Fake Don't Recommand"
"120",1323,FALSE,FALSE,209,"Fake Don't Recommand"
"121",1324,FALSE,FALSE,248,"Fake Don't Recommand"
"122",1325,FALSE,FALSE,22,"Fake Don't Recommand"
"123",1327,FALSE,FALSE,39,"Fake Don't Recommand"
"124",1328,FALSE,FALSE,221,"Fake Don't Recommand"
"125",1333,FALSE,FALSE,41,"Fake Don't Recommand"
"126",1335,FALSE,FALSE,194,"Fake Don't Recommand"
"127",1403,FALSE,FALSE,32,"Fake Don't Recommand"
"128",1404,FALSE,FALSE,24,"Fake Don't Recommand"
"129",1405,FALSE,FALSE,14,"Fake Don't Recommand"
"130",1407,FALSE,FALSE,59,"Fake Don't Recommand"
"131",1408,FALSE,FALSE,69,"Fake Don't Recommand"
"132",1409,FALSE,FALSE,49,"Fake Don't Recommand"
"133",1410,FALSE,FALSE,204,"Fake Don't Recommand"
"134",1411,FALSE,FALSE,95,"Fake Don't Recommand"
"135",1412,FALSE,FALSE,132,"Fake Don't Recommand"
"136",1413,FALSE,FALSE,94,"Fake Don't Recommand"
"137",1414,FALSE,FALSE,35,"Fake Don't Recommand"
"138",1415,FALSE,FALSE,51,"Fake Don't Recommand"
"139",1416,FALSE,FALSE,43,"Fake Don't Recommand"
"140",1418,FALSE,FALSE,137,"Fake Don't Recommand"
"141",1500,FALSE,FALSE,113,"Fake Don't Recommand"
"142",3284,FALSE,FALSE,66,"Fake Don't Recommand"
"143",3285,FALSE,FALSE,57,"Fake Don't Recommand"
"144",3286,FALSE,FALSE,18,"Fake Don't Recommand"
"145",3287,FALSE,FALSE,11,"Fake Don't Recommand"
"146",3288,FALSE,FALSE,69,"Fake Don't Recommand"
"147",3289,FALSE,FALSE,40,"Fake Don't Recommand"
"148",3290,FALSE,FALSE,22,"Fake Don't Recommand"
"149",3291,FALSE,FALSE,10,"Fake Don't Recommand"
"150",3292,FALSE,FALSE,55,"Fake Don't Recommand"
"151",3294,FALSE,FALSE,62,"Fake Don't Recommand"
"152",3507,FALSE,FALSE,28,"Fake Don't Recommand"
"153",3508,FALSE,FALSE,18,"Fake Don't Recommand"
"154",3509,FALSE,FALSE,10,"Fake Don't Recommand"
"155",3510,FALSE,FALSE,21,"Fake Don't Recommand"
"156",3526,FALSE,FALSE,31,"Fake Don't Recommand"
"157",3623,FALSE,FALSE,51,"Fake Don't Recommand"
"158",3624,FALSE,FALSE,140,"Fake Don't Recommand"
"159",3625,FALSE,FALSE,95,"Fake Don't Recommand"
"160",3626,FALSE,FALSE,121,"Fake Don't Recommand"
"161",3627,FALSE,FALSE,85,"Fake Don't Recommand"
"162",3628,FALSE,FALSE,45,"Fake Don't Recommand"
"163",3682,FALSE,FALSE,25,"Fake Don't Recommand"
"164",3686,FALSE,FALSE,95,"Fake Don't Recommand"
"165",3698,FALSE,FALSE,173,"Fake Don't Recommand"
"166",3699,FALSE,FALSE,27,"Fake Don't Recommand"
"167",3701,FALSE,FALSE,10,"Fake Don't Recommand"
"168",3703,FALSE,FALSE,20,"Fake Don't Recommand"
"169",3738,FALSE,FALSE,33,"Fake Don't Recommand"
"170",3742,FALSE,FALSE,104,"Fake Don't Recommand"
"171",4224,FALSE,FALSE,44,"Fake Don't Recommand"
"172",4225,FALSE,FALSE,43,"Fake Don't Recommand"
"173",4227,FALSE,FALSE,61,"Fake Don't Recommand"
"174",4228,FALSE,FALSE,57,"Fake Don't Recommand"
"175",4229,FALSE,FALSE,65,"Fake Don't Recommand"
"176",4231,FALSE,FALSE,54,"Fake Don't Recommand"
"177",4232,FALSE,FALSE,100,"Fake Don't Recommand"
"178",4233,FALSE,FALSE,221,"Fake Don't Recommand"
"179",4234,FALSE,FALSE,144,"Fake Don't Recommand"
"180",4235,FALSE,FALSE,153,"Fake Don't Recommand"
"181",4236,FALSE,FALSE,88,"Fake Don't Recommand"
"182",4248,FALSE,FALSE,54,"Fake Don't Recommand"
"183",4249,FALSE,FALSE,57,"Fake Don't Recommand"
"184",4250,FALSE,FALSE,53,"Fake Don't Recommand"
"185",4251,FALSE,FALSE,119,"Fake Don't Recommand"
"186",4252,FALSE,FALSE,145,"Fake Don't Recommand"
"187",4253,FALSE,FALSE,49,"Fake Don't Recommand"
"188",4254,FALSE,FALSE,148,"Fake Don't Recommand"
"189",4255,FALSE,FALSE,52,"Fake Don't Recommand"
"190",4256,FALSE,FALSE,97,"Fake Don't Recommand"
"191",4261,FALSE,FALSE,146,"Fake Don't Recommand"
"192",4263,FALSE,FALSE,124,"Fake Don't Recommand"
"193",4264,FALSE,FALSE,29,"Fake Don't Recommand"
"194",4265,FALSE,FALSE,276,"Fake Don't Recommand"
"195",4281,FALSE,FALSE,108,"Fake Don't Recommand"
"196",6368,FALSE,FALSE,17,"Fake Don't Recommand"
"197",6369,FALSE,FALSE,56,"Fake Don't Recommand"
"198",6370,FALSE,FALSE,26,"Fake Don't Recommand"
"199",6371,FALSE,FALSE,38,"Fake Don't Recommand"
"200",6373,FALSE,FALSE,44,"Fake Don't Recommand"
"201",6374,FALSE,FALSE,42,"Fake Don't Recommand"
"202",6375,FALSE,FALSE,67,"Fake Don't Recommand"
"203",6376,FALSE,FALSE,33,"Fake Don't Recommand"
"204",6377,FALSE,FALSE,48,"Fake Don't Recommand"
"205",6378,FALSE,FALSE,50,"Fake Don't Recommand"
"206",6379,FALSE,FALSE,54,"Fake Don't Recommand"
"207",6381,FALSE,FALSE,19,"Fake Don't Recommand"
"208",6384,FALSE,FALSE,9,"Fake Don't Recommand"
"209",6387,FALSE,FALSE,32,"Fake Don't Recommand"
"210",6408,FALSE,FALSE,18,"Fake Don't Recommand"
"211",6478,FALSE,FALSE,72,"Fake Don't Recommand"
"212",6567,FALSE,FALSE,32,"Fake Don't Recommand"
"213",6568,FALSE,FALSE,10,"Fake Don't Recommand"
"214",6569,FALSE,FALSE,13,"Fake Don't Recommand"
"215",6570,FALSE,FALSE,6,"Fake Don't Recommand"
"216",6571,FALSE,FALSE,22,"Fake Don't Recommand"
"217",6593,FALSE,FALSE,21,"Fake Don't Recommand"
"218",6594,FALSE,FALSE,141,"Fake Don't Recommand"
"219",6595,FALSE,FALSE,52,"Fake Don't Recommand"
"220",6596,FALSE,FALSE,93,"Fake Don't Recommand"
"221",6598,FALSE,FALSE,74,"Fake Don't Recommand"
"222",6605,FALSE,FALSE,30,"Fake Don't Recommand"
"223",6607,FALSE,FALSE,61,"Fake Don't Recommand"
"224",6609,FALSE,FALSE,49,"Fake Don't Recommand"
"225",6612,FALSE,FALSE,24,"Fake Don't Recommand"
"226",6637,FALSE,FALSE,17,"Fake Don't Recommand"
"227",6671,FALSE,FALSE,43,"Fake Don't Recommand"
"228",7495,FALSE,FALSE,19,"Fake Don't Recommand"
"229",7650,FALSE,FALSE,42,"Fake Don't Recommand"
"230",7854,FALSE,FALSE,26,"Fake Don't Recommand"
"231",7874,FALSE,FALSE,24,"Fake Don't Recommand"
"232",7941,FALSE,FALSE,22,"Fake Don't Recommand"
"233",10028,FALSE,FALSE,32,"Fake Don't Recommand"
"234",11350,FALSE,FALSE,19,"Fake Don't Recommand"
"235",11504,FALSE,FALSE,25,"Fake Don't Recommand"
"236",11726,FALSE,FALSE,56,"Fake Don't Recommand"
"237",12601,FALSE,FALSE,19,"Fake Don't Recommand"
"238",12963,FALSE,FALSE,20,"Fake Don't Recommand"
"239",13853,FALSE,FALSE,35,"Fake Don't Recommand"
"240",15195,FALSE,FALSE,42,"Fake Don't Recommand"
"241",15329,FALSE,FALSE,50,"Fake Don't Recommand"
"242",15367,FALSE,FALSE,54,"Fake Don't Recommand"
"243",15522,FALSE,FALSE,46,"Fake Don't Recommand"
"244",15523,FALSE,FALSE,73,"Fake Don't Recommand"
"245",15524,FALSE,FALSE,20,"Fake Don't Recommand"
"246",15569,FALSE,FALSE,51,"Fake Don't Recommand"
"247",15570,FALSE,FALSE,8,"Fake Don't Recommand"
"248",15571,FALSE,FALSE,5,"Fake Don't Recommand"
"249",15574,FALSE,FALSE,26,"Fake Don't Recommand"
"250",15576,FALSE,FALSE,44,"Fake Don't Recommand"
"251",15748,FALSE,FALSE,32,"Fake Don't Recommand"
"252",15750,FALSE,FALSE,57,"Fake Don't Recommand"
"253",15751,FALSE,FALSE,106,"Fake Don't Recommand"
"254",15755,FALSE,FALSE,67,"Fake Don't Recommand"
"255",15757,FALSE,FALSE,150,"Fake Don't Recommand"
"256",15766,FALSE,FALSE,56,"Fake Don't Recommand"
"257",15917,FALSE,FALSE,35,"Fake Don't Recommand"
"258",15918,FALSE,FALSE,33,"Fake Don't Recommand"
"259",15919,FALSE,FALSE,35,"Fake Don't Recommand"
"260",15920,FALSE,FALSE,38,"Fake Don't Recommand"
"261",15921,FALSE,FALSE,44,"Fake Don't Recommand"
"262",15927,FALSE,FALSE,82,"Fake Don't Recommand"
"263",15932,FALSE,FALSE,107,"Fake Don't Recommand"
"264",15933,FALSE,FALSE,96,"Fake Don't Recommand"
"265",15935,FALSE,FALSE,147,"Fake Don't Recommand"
"266",15937,FALSE,FALSE,107,"Fake Don't Recommand"
"267",15938,FALSE,FALSE,11,"Fake Don't Recommand"
"268",15939,FALSE,FALSE,20,"Fake Don't Recommand"
"269",15940,FALSE,FALSE,30,"Fake Don't Recommand"
"270",15941,FALSE,FALSE,34,"Fake Don't Recommand"
"271",15942,FALSE,FALSE,38,"Fake Don't Recommand"
"272",15943,FALSE,FALSE,40,"Fake Don't Recommand"
"273",15947,FALSE,FALSE,57,"Fake Don't Recommand"
"274",15948,FALSE,FALSE,64,"Fake Don't Recommand"
"275",15949,FALSE,FALSE,63,"Fake Don't Recommand"
"276",15952,FALSE,FALSE,141,"Fake Don't Recommand"
"277",15957,FALSE,FALSE,28,"Fake Don't Recommand"
"278",15958,FALSE,FALSE,34,"Fake Don't Recommand"
"279",15961,FALSE,FALSE,49,"Fake Don't Recommand"
"280",15966,FALSE,FALSE,85,"Fake Don't Recommand"
"281",15969,FALSE,FALSE,80,"Fake Don't Recommand"
"282",15970,FALSE,FALSE,78,"Fake Don't Recommand"
"283",15972,FALSE,FALSE,84,"Fake Don't Recommand"
"284",15973,FALSE,FALSE,102,"Fake Don't Recommand"
"285",16040,FALSE,FALSE,51,"Fake Don't Recommand"
"286",16401,FALSE,FALSE,34,"Fake Don't Recommand"
"287",16658,FALSE,FALSE,82,"Fake Don't Recommand"
"288",16674,FALSE,FALSE,74,"Fake Don't Recommand"
"289",16680,FALSE,FALSE,87,"Fake Don't Recommand"
"290",16846,FALSE,FALSE,73,"Fake Don't Recommand"
"291",16849,FALSE,FALSE,70,"Fake Don't Recommand"
"292",16950,FALSE,FALSE,105,"Fake Don't Recommand"
"293",17480,FALSE,FALSE,45,"Fake Don't Recommand"
"294",17481,FALSE,FALSE,91,"Fake Don't Recommand"
