"","X","did_purchase","ratings","recommendation","Real_Review"
"106",23020,TRUE,1,FALSE,"Real Don't Recommand"
"107",23021,TRUE,1,FALSE,"Real Don't Recommand"
"108",23022,TRUE,3,FALSE,"Real Don't Recommand"
"109",27079,TRUE,4,FALSE,"Real Don't Recommand"
"110",27439,TRUE,1,FALSE,"Real Don't Recommand"
"111",28762,TRUE,1,FALSE,"Real Don't Recommand"
"112",28780,TRUE,3,FALSE,"Real Don't Recommand"
"113",29023,TRUE,1,FALSE,"Real Don't Recommand"
"114",29076,TRUE,2,FALSE,"Real Don't Recommand"
"115",31417,TRUE,1,FALSE,"Real Don't Recommand"
"116",31427,TRUE,3,FALSE,"Real Don't Recommand"
"117",31428,TRUE,3,FALSE,"Real Don't Recommand"
"118",31536,TRUE,1,FALSE,"Real Don't Recommand"
"119",31548,TRUE,1,FALSE,"Real Don't Recommand"
"120",31588,TRUE,1,FALSE,"Real Don't Recommand"
"121",31591,TRUE,2,FALSE,"Real Don't Recommand"
"122",31594,TRUE,3,FALSE,"Real Don't Recommand"
"123",32411,TRUE,1,FALSE,"Real Don't Recommand"
"124",32487,TRUE,2,FALSE,"Real Don't Recommand"
"125",32585,TRUE,2,FALSE,"Real Don't Recommand"
"126",32586,TRUE,3,FALSE,"Real Don't Recommand"
"127",35233,TRUE,1,FALSE,"Real Don't Recommand"
"128",35773,TRUE,2,FALSE,"Real Don't Recommand"
"129",36440,TRUE,1,FALSE,"Real Don't Recommand"
"130",36548,TRUE,2,FALSE,"Real Don't Recommand"
"131",36722,TRUE,2,FALSE,"Real Don't Recommand"
"132",36758,TRUE,2,FALSE,"Real Don't Recommand"
"133",36877,TRUE,1,FALSE,"Real Don't Recommand"
"134",36881,TRUE,1,FALSE,"Real Don't Recommand"
"135",36882,TRUE,2,FALSE,"Real Don't Recommand"
"136",36884,TRUE,2,FALSE,"Real Don't Recommand"
"137",36886,TRUE,3,FALSE,"Real Don't Recommand"
"138",38887,TRUE,1,FALSE,"Real Don't Recommand"
"139",46023,TRUE,3,FALSE,"Real Don't Recommand"
"140",46149,TRUE,1,FALSE,"Real Don't Recommand"
"141",46152,TRUE,2,FALSE,"Real Don't Recommand"
"142",46252,TRUE,2,FALSE,"Real Don't Recommand"
"143",46333,TRUE,2,FALSE,"Real Don't Recommand"
"144",46362,TRUE,3,FALSE,"Real Don't Recommand"
"145",46366,TRUE,3,FALSE,"Real Don't Recommand"
"146",46620,TRUE,1,FALSE,"Real Don't Recommand"
"147",46734,TRUE,1,FALSE,"Real Don't Recommand"
"148",46735,TRUE,1,FALSE,"Real Don't Recommand"
"149",46737,TRUE,1,FALSE,"Real Don't Recommand"
"150",46740,TRUE,1,FALSE,"Real Don't Recommand"
"151",46741,TRUE,1,FALSE,"Real Don't Recommand"
"152",46743,TRUE,1,FALSE,"Real Don't Recommand"
"153",46746,TRUE,1,FALSE,"Real Don't Recommand"
"154",46747,TRUE,1,FALSE,"Real Don't Recommand"
"155",46749,TRUE,1,FALSE,"Real Don't Recommand"
"156",46751,TRUE,1,FALSE,"Real Don't Recommand"
"157",46752,TRUE,1,FALSE,"Real Don't Recommand"
"158",46754,TRUE,1,FALSE,"Real Don't Recommand"
"159",46755,TRUE,1,FALSE,"Real Don't Recommand"
"160",46757,TRUE,1,FALSE,"Real Don't Recommand"
"161",46758,TRUE,1,FALSE,"Real Don't Recommand"
"162",46759,TRUE,1,FALSE,"Real Don't Recommand"
"163",46763,TRUE,1,FALSE,"Real Don't Recommand"
"164",46764,TRUE,1,FALSE,"Real Don't Recommand"
"165",46766,TRUE,1,FALSE,"Real Don't Recommand"
"166",46767,TRUE,1,FALSE,"Real Don't Recommand"
"167",46769,TRUE,1,FALSE,"Real Don't Recommand"
"168",46773,TRUE,1,FALSE,"Real Don't Recommand"
"169",46774,TRUE,1,FALSE,"Real Don't Recommand"
"170",46776,TRUE,1,FALSE,"Real Don't Recommand"
"171",46777,TRUE,1,FALSE,"Real Don't Recommand"
"172",46778,TRUE,2,FALSE,"Real Don't Recommand"
